"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"05.01.2021 22:00 - 05.01.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","946","n/e","n/e"
"05.01.2021 23:00 - 06.01.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","886","n/e","n/e"
"06.01.2021 00:00 - 06.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","686","n/e","n/e"
"06.01.2021 01:00 - 06.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","628","n/e","n/e"
"06.01.2021 02:00 - 06.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","592","n/e","n/e"
"06.01.2021 03:00 - 06.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","548","n/e","n/e"
"06.01.2021 04:00 - 06.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","471","n/e","n/e"
"06.01.2021 05:00 - 06.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","413","n/e","n/e"
"06.01.2021 06:00 - 06.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","396","n/e","n/e"
"06.01.2021 07:00 - 06.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","388","n/e","n/e"
"06.01.2021 08:00 - 06.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","347","n/e","n/e"
"06.01.2021 09:00 - 06.01.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","281","n/e","n/e"
"06.01.2021 10:00 - 06.01.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","234","n/e","n/e"
"06.01.2021 11:00 - 06.01.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","213","n/e","n/e"
"06.01.2021 12:00 - 06.01.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","208","n/e","n/e"
"06.01.2021 13:00 - 06.01.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","208","n/e","n/e"
"06.01.2021 14:00 - 06.01.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","205","n/e","n/e"
"06.01.2021 15:00 - 06.01.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","198","n/e","n/e"
"06.01.2021 16:00 - 06.01.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","195","n/e","n/e"
"06.01.2021 17:00 - 06.01.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","211","n/e","n/e"
"06.01.2021 18:00 - 06.01.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","240","n/e","n/e"
"06.01.2021 19:00 - 06.01.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","262","n/e","n/e"
"06.01.2021 20:00 - 06.01.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","278","n/e","n/e"
"06.01.2021 21:00 - 06.01.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","310","n/e","n/e"
"06.01.2021 22:00 - 06.01.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","361","n/e","n/e"
"06.01.2021 23:00 - 07.01.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","418","n/e","n/e"
"07.01.2021 00:00 - 07.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","432","n/e","n/e"
"07.01.2021 01:00 - 07.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","473","n/e","n/e"
"07.01.2021 02:00 - 07.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","515","n/e","n/e"
"07.01.2021 03:00 - 07.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","562","n/e","n/e"
"07.01.2021 04:00 - 07.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","617","n/e","n/e"
"07.01.2021 05:00 - 07.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","686","n/e","n/e"
"07.01.2021 06:00 - 07.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","729","n/e","n/e"
"07.01.2021 07:00 - 07.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","738","n/e","n/e"
"07.01.2021 08:00 - 07.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","717","n/e","n/e"
"07.01.2021 09:00 - 07.01.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","699","n/e","n/e"
"07.01.2021 10:00 - 07.01.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","763","n/e","n/e"
"07.01.2021 11:00 - 07.01.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","890","n/e","n/e"
"07.01.2021 12:00 - 07.01.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1003","n/e","n/e"
"07.01.2021 13:00 - 07.01.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1086","n/e","n/e"
"07.01.2021 14:00 - 07.01.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1176","n/e","n/e"
"07.01.2021 15:00 - 07.01.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1290","n/e","n/e"
"07.01.2021 16:00 - 07.01.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1425","n/e","n/e"
"07.01.2021 17:00 - 07.01.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1594","n/e","n/e"
"07.01.2021 18:00 - 07.01.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1748","n/e","n/e"
"07.01.2021 19:00 - 07.01.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1829","n/e","n/e"
"07.01.2021 20:00 - 07.01.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1860","n/e","n/e"
"07.01.2021 21:00 - 07.01.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1877","n/e","n/e"
"07.01.2021 22:00 - 07.01.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1905","n/e","n/e"
"07.01.2021 23:00 - 08.01.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1936","n/e","n/e"
"08.01.2021 00:00 - 08.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","2009","n/e","n/e"
"08.01.2021 01:00 - 08.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","2084","n/e","n/e"
"08.01.2021 02:00 - 08.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","2112","n/e","n/e"
"08.01.2021 03:00 - 08.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","2120","n/e","n/e"
"08.01.2021 04:00 - 08.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","2110","n/e","n/e"
"08.01.2021 05:00 - 08.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","2089","n/e","n/e"
